,predicted
375,13
376,6
377,2
378,10
379,19
380,9
381,0
382,10
383,13
384,11
385,10
386,1
387,2
388,14
389,0
390,17
391,13
392,13
393,13
394,0
395,0
396,13
397,9
398,19
399,0
400,17
401,19
402,12
403,19
404,18
405,12
406,10
407,0
408,0
409,0
410,1
411,1
412,0
413,10
414,11
415,12
416,12
417,2
418,13
419,8
420,1
421,7
422,19
423,2
424,4
425,12
426,1
427,17
428,19
429,10
430,10
431,1
432,0
433,18
434,1
435,10
436,2
437,1
438,0
439,8
440,13
441,1
442,1
443,12
444,18
445,8
446,9
447,9
448,1
449,10
450,0
451,1
452,10
453,1
454,11
455,12
456,8
457,10
458,19
459,10
460,2
461,13
462,12
463,9
464,10
465,12
466,19
467,17
468,11
469,13
470,10
471,1
472,12
473,10
474,12
475,10
476,1
477,1
478,9
479,1
480,10
481,13
482,18
483,0
484,13
485,13
486,10
487,12
488,8
489,0
490,1
491,17
492,9
493,1
494,17
495,10
496,1
497,1
498,10
499,1
500,0
501,9
502,10
503,1
504,10
505,9
506,10
507,0
508,0
509,2
510,13
511,10
512,1
513,9
514,8
515,12
516,10
517,8
518,19
519,9
520,10
521,2
522,10
523,10
524,10
525,10
526,16
527,13
528,4
529,18
530,0
531,1
532,0
533,15
534,0
535,10
536,0
537,8
538,0
539,1
540,0
541,0
542,0
543,12
544,12
545,2
546,9
547,10
548,0
549,11
550,12
551,1
552,1
553,11
554,12
555,0
556,17
557,12
558,13
559,17
560,0
561,12
562,10
563,8
564,11
565,1
566,13
567,0
568,11
569,17
570,12
571,10
572,18
573,10
574,0
575,0
576,0
577,13
578,13
579,19
580,10
581,19
582,2
583,18
584,19
585,0
586,17
587,0
588,12
589,8
590,12
591,18
592,17
593,1
594,3
595,1
596,10
597,13
598,1
599,19
600,10
601,9
602,9
603,13
604,1
605,19
606,0
607,12
608,18
609,10
610,0
611,10
612,16
613,18
614,0
615,0
616,8
617,18
618,10
619,1
620,0
621,10
622,9
623,17
624,3
625,13
626,9
627,17
628,2
629,1
630,19
631,10
632,1
633,10
634,9
635,1
636,17
637,13
638,12
639,17
640,15
641,10
642,13
643,0
644,13
645,0
646,1
647,10
648,1
649,10
650,17
651,1
652,2
653,12
654,13
655,7
656,1
657,13
658,17
659,0
660,2
661,0
662,9
663,0
664,12
665,13
666,17
667,12
668,1
669,13
670,1
671,12
672,8
673,10
674,4
675,9
676,0
677,0
678,10
679,18
680,17
681,12
682,13
683,1
684,0
685,13
686,0
687,12
688,13
689,8
690,8
691,17
692,0
693,0
694,10
695,13
696,0
697,1
698,12
699,1
700,12
701,9
702,13
703,14
704,18
705,1
706,12
707,5
708,6
709,9
710,12
711,10
712,19
713,1
714,17
715,11
716,13
717,17
718,9
719,8
720,13
721,0
722,10
723,0
724,12
725,10
726,0
727,13
728,13
729,17
730,2
731,0
732,17
733,12
734,1
735,10
736,0
737,17
738,0
739,8
740,0
741,0
742,13
743,1
744,1
745,9
746,19
747,0
748,10
749,8
750,13
751,12
752,12
753,17
754,13
755,12
756,10
757,1
758,10
759,0
760,0
761,17
762,1
763,10
764,0
765,0
766,13
767,13
768,2
769,11
770,10
771,10
772,17
773,0
774,13
775,10
776,1
777,10
778,9
779,12
780,1
781,0
782,17
783,6
784,19
785,1
786,2
787,13
788,2
789,12
790,1
791,2
792,10
793,0
794,1
795,9
796,1
797,0
798,13
799,1
800,8
801,0
802,11
803,17
804,12
805,1
806,8
807,1
808,6
809,18
810,17
811,13
812,0
813,17
814,2
815,17
816,8
817,1
818,1
819,9
820,6
821,11
822,1
823,10
824,13
825,8
826,12
827,0
828,6
829,13
830,0
831,10
832,1
833,13
834,0
835,8
836,17
837,9
838,10
839,1
840,12
841,2
842,1
843,12
844,0
845,0
846,1
847,19
848,2
849,1
850,12
851,1
852,17
853,2
854,11
855,11
856,2
857,11
858,8
859,1
860,0
861,12
862,17
863,3
864,1
865,10
866,10
867,10
868,0
869,13
870,11
871,9
872,1
873,11
874,10
875,12
876,0
877,8
878,0
879,0
880,17
881,10
882,1
883,6
884,2
885,3
886,2
887,13
888,1
889,1
890,2
891,1
892,1
893,13
894,12
895,12
896,8
897,0
898,13
899,13
900,12
901,1
902,10
903,13
904,1
905,3
906,10
907,3
908,1
909,2
910,19
911,6
912,6
913,2
914,10
915,7
916,11
917,6
918,10
919,12
920,2
921,11
922,1
923,10
924,10
925,0
926,0
927,10
928,10
929,8
930,10
931,13
932,0
933,0
934,2
935,13
936,0
937,13
938,2
939,12
940,0
941,9
942,1
943,2
944,13
945,2
946,1
947,1
948,4
949,0
950,12
951,5
952,1
953,19
954,0
955,2
956,12
957,2
958,10
959,10
960,13
961,12
962,10
963,1
964,12
965,11
966,12
967,11
968,12
969,13
970,18
971,17
972,1
973,0
974,12
975,8
976,0
977,1
978,0
979,13
980,0
981,12
982,10
983,13
984,0
985,13
986,10
987,1
988,8
989,0
990,7
991,7
992,4
993,13
994,12
995,12
996,10
997,16
998,10
999,13
1000,13
1001,8
1002,2
1003,13
1004,17
1005,0
1006,5
1007,9
1008,13
1009,0
1010,10
1011,13
1012,13
1013,8
1014,1
1015,10
1016,13
1017,0
1018,0
1019,13
1020,12
1021,9
1022,14
1023,13
1024,13
1025,2
1026,0
1027,0
1028,19
1029,10
1030,14
1031,1
1032,12
1033,6
1034,12
1035,12
1036,10
1037,18
1038,0
1039,12
1040,8
1041,2
1042,13
1043,8
1044,12
1045,16
1046,2
1047,19
1048,19
1049,17
1050,18
1051,15
1052,10
1053,1
1054,8
1055,17
1056,5
1057,8
1058,2
1059,19
1060,12
1061,12
1062,11
1063,12
1064,13
1065,10
1066,0
1067,6
1068,13
1069,1
1070,0
1071,8
1072,11
1073,12
1074,0
1075,13
1076,2
1077,13
1078,1
1079,10
1080,12
1081,0
1082,13
1083,10
1084,9
1085,0
1086,9
1087,5
1088,10
1089,1
1090,17
1091,4
1092,1
1093,1
1094,9
1095,17
1096,11
1097,2
1098,12
1099,1
1100,19
1101,12
1102,9
1103,0
1104,2
1105,10
1106,13
1107,1
1108,13
1109,10
1110,10
1111,1
1112,13
1113,10
1114,0
1115,1
1116,10
1117,8
1118,17
1119,9
1120,13
1121,13
1122,13
1123,11
1124,0
1125,12
1126,0
1127,16
1128,13
1129,2
1130,13
1131,17
1132,13
1133,1
1134,9
1135,12
1136,0
1137,1
1138,8
1139,1
1140,17
1141,0
1142,18
1143,0
1144,10
1145,10
1146,17
1147,13
1148,0
1149,1
1150,12
1151,13
1152,17
1153,17
1154,8
1155,1
1156,12
1157,5
1158,10
1159,10
1160,19
1161,8
1162,19
1163,19
1164,12
1165,13
1166,0
1167,0
1168,13
1169,1
1170,3
1171,6
1172,12
1173,12
1174,1
1175,10
1176,11
1177,1
1178,1
1179,19
1180,12
1181,13
1182,10
1183,18
1184,12
1185,10
1186,9
1187,1
1188,17
1189,17
1190,1
1191,1
1192,17
1193,1
1194,9
1195,13
1196,0
1197,1
1198,10
1199,1
1200,17
1201,12
1202,11
1203,0
1204,17
1205,19
1206,0
1207,5
1208,19
1209,13
1210,1
1211,12
1212,11
1213,10
1214,13
1215,9
1216,13
1217,0
1218,7
1219,13
1220,9
1221,17
1222,1
1223,0
1224,11
1225,2
1226,1
1227,0
1228,8
1229,2
1230,1
1231,0
1232,0
1233,0
1234,17
1235,0
1236,9
1237,7
1238,3
1239,0
1240,13
1241,8
1242,8
1243,10
1244,12
1245,12
1246,11
1247,0
1248,1
1249,2
1250,0
1251,13
1252,12
1253,10
1254,9
1255,1
1256,6
1257,0
1258,10
1259,6
1260,8
1261,0
1262,12
1263,1
1264,3
1265,13
1266,17
1267,12
1268,12
1269,0
1270,0
1271,11
1272,18
1273,17
1274,9
1275,9
1276,12
1277,1
1278,13
1279,10
1280,1
1281,1
1282,12
1283,0
1284,13
1285,10
1286,5
1287,17
1288,19
1289,6
1290,1
1291,17
1292,10
1293,0
1294,17
1295,1
1296,10
1297,0
1298,6
1299,0
1300,11
1301,0
1302,2
1303,0
1304,1
1305,1
1306,13
1307,12
1308,0
1309,0
1310,13
1311,8
1312,13
1313,12
1314,13
1315,13
1316,2
1317,0
1318,11
1319,0
1320,18
1321,0
1322,9
1323,12
1324,13
1325,10
1326,2
1327,8
1328,1
1329,13
1330,8
1331,6
1332,19
1333,12
1334,13
1335,2
1336,14
1337,13
1338,0
1339,10
1340,8
1341,19
1342,0
1343,13
1344,1
1345,1
1346,17
1347,12
1348,0
1349,13
1350,0
1351,0
1352,10
1353,12
1354,2
1355,0
1356,8
1357,10
1358,13
1359,0
1360,1
1361,18
1362,1
1363,17
1364,17
1365,1
1366,12
1367,18
1368,9
1369,17
1370,9
1371,0
1372,17
1373,9
1374,1
1375,0
1376,12
1377,2
1378,0
1379,12
1380,17
1381,2
1382,18
1383,18
1384,17
1385,12
1386,11
1387,13
1388,12
1389,12
1390,1
1391,12
1392,12
1393,1
1394,12
1395,11
1396,18
1397,1
1398,9
1399,13
1400,10
1401,12
1402,0
1403,6
1404,9
1405,13
1406,17
1407,17
1408,17
1409,17
1410,0
1411,12
1412,1
1413,6
1414,7
1415,9
1416,10
1417,0
1418,8
1419,10
1420,17
1421,0
1422,8
1423,19
1424,1
1425,10
1426,0
1427,9
1428,10
1429,1
1430,9
1431,1
1432,11
1433,1
1434,9
1435,13
1436,10
1437,19
1438,13
1439,8
1440,13
1441,6
1442,10
1443,1
1444,18
1445,1
1446,0
1447,19
1448,13
1449,1
1450,13
1451,12
1452,18
1453,1
1454,17
1455,10
1456,0
1457,12
1458,13
1459,1
1460,1
1461,1
1462,9
1463,2
1464,0
1465,10
1466,12
1467,13
1468,9
1469,11
1470,19
1471,13
1472,2
1473,1
1474,14
1475,8
1476,9
1477,11
1478,12
1479,16
1480,8
1481,13
1482,17
1483,18
1484,0
1485,13
1486,8
1487,11
1488,1
1489,0
1490,8
1491,10
1492,12
1493,9
1494,1
1495,17
1496,13
1497,1
1498,12
1499,19
1500,13
1501,10
1502,9
1503,17
1504,1
1505,13
1506,19
1507,10
1508,9
1509,10
1510,1
1511,7
1512,1
1513,1
1514,16
1515,1
1516,10
1517,13
1518,12
1519,11
1520,1
1521,12
1522,0
1523,0
1524,12
1525,1
1526,11
1527,12
1528,9
1529,1
1530,13
1531,0
1532,13
1533,12
1534,12
1535,13
1536,12
1537,10
1538,13
1539,9
1540,0
1541,10
1542,8
1543,8
1544,12
1545,13
1546,9
1547,1
1548,1
1549,2
1550,0
1551,13
1552,12
1553,8
1554,13
1555,1
1556,10
1557,10
1558,13
1559,9
1560,10
1561,13
1562,19
1563,1
1564,19
1565,10
1566,10
1567,13
1568,0
1569,10
1570,13
1571,1
1572,12
1573,9
1574,1
1575,2
1576,2
1577,13
1578,12
1579,2
1580,0
1581,12
1582,1
1583,16
1584,2
1585,19
1586,11
1587,1
1588,0
1589,10
1590,13
1591,11
1592,11
1593,1
1594,1
1595,0
1596,10
1597,13
1598,12
1599,10
1600,0
1601,1
1602,1
1603,9
1604,0
1605,1
1606,9
1607,19
1608,1
1609,14
1610,8
1611,10
1612,0
1613,9
1614,0
1615,1
1616,12
1617,11
1618,1
1619,11
1620,0
1621,2
1622,2
1623,13
1624,8
1625,10
1626,12
1627,0
1628,1
1629,0
1630,1
1631,1
1632,12
1633,1
1634,12
1635,12
1636,17
1637,13
1638,10
1639,12
1640,9
1641,0
1642,0
1643,17
1644,12
1645,8
1646,10
1647,7
1648,18
1649,13
1650,11
1651,5
1652,13
1653,10
1654,13
1655,0
1656,8
1657,0
1658,9
1659,10
1660,9
1661,12
1662,10
1663,13
1664,1
1665,0
1666,10
1667,2
1668,2
1669,19
1670,10
1671,10
1672,0
1673,19
1674,9
1675,9
1676,12
1677,18
1678,1
1679,12
1680,8
1681,6
1682,13
1683,19
1684,12
1685,0
1686,10
1687,0
1688,9
1689,0
1690,19
1691,0
1692,13
1693,12
1694,2
1695,0
1696,0
1697,12
1698,1
1699,0
1700,13
1701,2
1702,1
1703,17
1704,0
1705,2
1706,13
1707,13
1708,1
1709,17
1710,1
1711,9
1712,9
1713,12
1714,17
1715,13
1716,19
1717,8
1718,17
1719,17
1720,2
1721,10
1722,12
1723,1
1724,13
1725,13
1726,10
1727,1
1728,19
1729,11
1730,1
1731,10
1732,13
1733,13
1734,6
1735,10
1736,17
1737,1
1738,12
1739,4
1740,13
1741,10
1742,10
1743,5
1744,9
1745,10
1746,9
1747,12
1748,10
1749,13
1750,0
1751,17
1752,13
1753,13
1754,19
1755,13
1756,13
1757,12
1758,1
1759,13
1760,8
1761,6
1762,13
1763,0
1764,0
1765,9
1766,9
1767,8
1768,12
1769,9
1770,12
1771,1
1772,13
1773,10
1774,18
1775,10
1776,10
1777,13
1778,11
1779,0
1780,12
1781,17
1782,0
1783,8
1784,13
1785,14
1786,19
1787,10
1788,0
1789,13
1790,11
1791,9
1792,12
1793,13
1794,10
1795,0
1796,10
1797,1
1798,1
1799,18
1800,19
1801,2
1802,1
1803,13
1804,16
1805,6
1806,0
1807,1
1808,0
1809,1
1810,12
1811,0
1812,12
1813,12
1814,2
1815,0
1816,2
1817,2
1818,11
1819,17
1820,0
1821,17
1822,0
1823,2
1824,18
1825,10
1826,13
1827,13
1828,0
1829,13
1830,1
1831,8
1832,17
1833,0
1834,1
1835,12
1836,2
1837,12
1838,12
1839,15
1840,9
1841,11
1842,1
1843,10
1844,0
1845,12
1846,12
1847,1
1848,10
1849,17
1850,12
1851,1
1852,1
1853,6
1854,12
1855,0
1856,0
1857,8
1858,1
1859,13
1860,0
1861,13
1862,12
1863,0
1864,10
1865,13
1866,0
1867,11
1868,19
1869,0
1870,12
1871,0
1872,0
1873,18
1874,13
1875,13
1876,17
1877,10
1878,13
1879,11
1880,2
1881,0
1882,9
1883,8
1884,19
1885,18
1886,10
1887,13
1888,6
1889,12
1890,2
1891,19
1892,12
1893,13
1894,0
1895,18
1896,0
1897,13
1898,5
1899,10
1900,13
1901,10
1902,12
1903,12
1904,19
1905,0
1906,13
1907,8
1908,13
1909,13
1910,1
1911,11
1912,6
1913,8
1914,11
1915,1
1916,1
1917,9
1918,17
1919,2
1920,6
1921,17
1922,13
1923,1
1924,13
1925,11
1926,0
1927,17
1928,15
1929,0
1930,10
1931,0
1932,13
1933,10
1934,10
1935,18
1936,0
1937,0
1938,10
1939,1
1940,17
1941,0
1942,18
1943,0
1944,1
1945,18
1946,17
1947,13
1948,13
1949,0
1950,2
1951,9
1952,0
1953,17
1954,10
1955,18
1956,0
1957,17
1958,16
1959,17
1960,1
1961,9
1962,11
1963,13
1964,0
1965,1
1966,12
1967,7
1968,13
1969,16
1970,12
1971,19
1972,9
1973,12
1974,0
1975,13
1976,19
1977,17
1978,12
1979,19
1980,2
1981,0
1982,0
1983,1
1984,6
1985,17
1986,17
1987,10
1988,17
1989,18
1990,12
1991,1
1992,13
1993,13
1994,0
1995,13
1996,19
1997,13
1998,2
1999,1
2000,13
2001,0
2002,17
2003,12
2004,0
2005,0
2006,10
2007,13
2008,1
2009,10
2010,17
2011,6
2012,18
2013,1
2014,19
2015,10
2016,12
2017,9
2018,13
2019,13
2020,13
2021,0
2022,16
2023,1
2024,9
2025,7
2026,12
2027,0
2028,10
2029,0
2030,17
2031,13
2032,19
2033,12
2034,3
2035,10
2036,1
2037,1
2038,1
2039,1
2040,2
2041,2
2042,17
2043,2
2044,19
2045,1
2046,1
2047,7
2048,12
2049,12
2050,2
2051,8
2052,12
2053,13
2054,0
2055,13
2056,0
2057,19
2058,17
2059,0
2060,12
2061,13
2062,1
2063,0
2064,19
2065,0
2066,13
2067,18
2068,12
2069,17
2070,8
2071,10
2072,1
2073,12
2074,9
2075,0
2076,1
2077,1
2078,8
2079,11
2080,0
2081,6
2082,8
2083,13
2084,17
2085,9
2086,1
2087,13
2088,13
2089,2
2090,9
2091,8
2092,12
2093,0
2094,10
2095,1
2096,17
2097,12
2098,8
2099,2
2100,8
2101,2
2102,0
2103,19
2104,14
2105,12
2106,12
2107,12
2108,13
2109,9
2110,17
2111,1
2112,10
2113,13
2114,11
2115,13
2116,0
2117,17
2118,7
2119,17
2120,14
2121,0
2122,9
2123,13
2124,16
2125,13
2126,2
2127,19
2128,8
2129,13
2130,2
2131,18
2132,0
2133,1
2134,13
2135,0
2136,0
2137,2
2138,6
2139,13
2140,10
2141,1
2142,0
2143,13
2144,0
2145,19
2146,12
2147,8
2148,10
2149,1
2150,13
2151,11
2152,0
2153,10
2154,0
2155,13
2156,12
2157,10
2158,7
2159,17
2160,10
2161,10
2162,1
2163,9
2164,17
2165,9
2166,3
2167,0
2168,9
2169,8
2170,12
2171,1
2172,12
2173,10
2174,1
2175,1
2176,0
2177,11
2178,0
2179,2
2180,1
2181,0
2182,2
2183,19
2184,0
2185,12
2186,13
2187,11
2188,8
2189,0
2190,10
2191,12
2192,9
2193,12
2194,0
2195,0
2196,17
2197,13
2198,17
2199,0
2200,17
2201,1
2202,2
2203,0
2204,13
2205,12
2206,13
2207,5
2208,2
2209,0
2210,9
2211,12
2212,13
2213,10
2214,0
2215,13
2216,13
2217,0
2218,8
2219,0
2220,17
2221,5
2222,13
2223,9
2224,11
2225,17
2226,1
2227,19
2228,5
2229,8
2230,1
2231,1
2232,13
2233,15
2234,13
2235,1
2236,17
2237,10
2238,12
2239,10
2240,8
2241,0
2242,19
2243,2
2244,19
2245,6
2246,10
2247,13
2248,12
2249,1
2250,10
2251,0
2252,16
2253,1
2254,17
2255,2
2256,17
2257,4
2258,8
2259,6
2260,13
2261,13
2262,1
2263,13
2264,13
2265,13
2266,17
2267,10
2268,12
2269,9
2270,19
2271,13
2272,17
2273,1
2274,1
2275,10
2276,18
2277,11
2278,13
2279,8
2280,2
2281,13
2282,9
2283,9
2284,1
2285,13
2286,12
2287,9
2288,2
2289,7
2290,10
2291,3
2292,10
2293,16
2294,12
2295,0
2296,10
2297,5
2298,13
2299,1
2300,0
2301,8
2302,2
2303,3
2304,17
2305,17
2306,1
2307,5
2308,19
2309,12
2310,17
2311,1
2312,1
2313,13
2314,1
2315,12
2316,12
2317,17
2318,8
2319,9
2320,18
2321,12
2322,0
2323,12
2324,10
2325,17
2326,1
2327,17
2328,0
2329,13
2330,9
2331,10
2332,1
2333,14
2334,0
2335,0
2336,11
2337,19
2338,11
2339,13
2340,1
2341,2
2342,10
2343,9
2344,12
2345,10
2346,9
2347,10
2348,1
2349,10
2350,10
2351,13
2352,19
2353,9
2354,0
2355,12
2356,11
2357,17
2358,1
2359,17
2360,8
2361,1
2362,12
2363,0
2364,0
2365,2
2366,0
2367,10
2368,17
2369,8
2370,13
2371,10
2372,12
2373,13
2374,1
2375,1
2376,19
2377,10
2378,1
2379,0
2380,12
2381,6
2382,1
2383,8
2384,7
2385,1
2386,9
2387,12
2388,1
2389,9
2390,10
2391,1
2392,0
2393,9
2394,1
2395,13
2396,17
2397,12
2398,17
2399,17
2400,10
2401,10
2402,13
2403,10
2404,12
2405,5
2406,7
2407,6
2408,18
2409,19
2410,0
2411,19
2412,17
2413,17
2414,10
2415,19
2416,0
2417,0
2418,19
2419,6
2420,0
2421,9
2422,1
2423,13
2424,9
2425,10
2426,11
2427,1
2428,0
2429,0
2430,12
2431,11
2432,10
2433,1
2434,0
2435,18
2436,14
2437,13
2438,1
2439,0
2440,1
2441,13
2442,12
2443,13
2444,2
2445,9
2446,9
2447,19
2448,18
2449,2
2450,12
2451,2
2452,9
2453,17
2454,9
2455,0
2456,1
2457,19
2458,0
2459,1
2460,13
2461,18
2462,0
2463,0
2464,17
2465,0
2466,0
2467,19
2468,9
2469,13
2470,1
2471,13
2472,1
2473,0
2474,1
2475,9
2476,11
2477,1
2478,12
2479,5
2480,18
2481,1
2482,13
2483,10
2484,13
2485,9
2486,12
2487,16
2488,13
2489,19
2490,12
2491,19
2492,0
2493,9
2494,1
2495,0
2496,0
2497,10
2498,5
2499,0
2500,5
2501,12
2502,0
2503,12
2504,13
2505,13
2506,10
2507,8
2508,0
2509,10
2510,13
2511,2
2512,9
2513,14
2514,0
2515,12
2516,1
2517,1
2518,19
2519,13
2520,9
2521,10
2522,12
2523,12
2524,2
2525,10
2526,0
2527,13
2528,2
2529,9
2530,10
2531,0
2532,11
2533,1
2534,10
2535,10
2536,13
2537,0
2538,9
2539,13
2540,1
2541,1
2542,1
2543,19
2544,10
2545,0
2546,1
2547,1
2548,9
2549,2
2550,10
2551,13
2552,8
2553,10
2554,8
2555,17
2556,1
2557,0
2558,0
2559,19
2560,8
2561,11
2562,1
2563,0
2564,0
2565,1
2566,17
2567,13
2568,12
2569,0
2570,0
2571,19
2572,9
2573,19
2574,10
2575,8
2576,19
2577,10
2578,16
2579,8
2580,13
2581,2
2582,10
2583,2
2584,18
2585,10
2586,9
2587,0
2588,6
2589,2
2590,10
2591,8
2592,0
2593,10
2594,0
2595,13
2596,12
2597,19
2598,8
2599,10
2600,10
2601,4
2602,10
2603,12
2604,0
2605,12
2606,19
2607,1
2608,10
2609,1
2610,13
2611,1
2612,8
2613,1
2614,0
2615,1
2616,3
2617,12
2618,8
2619,1
2620,13
2621,13
2622,11
2623,9
2624,8
2625,9
2626,1
2627,14
2628,0
2629,0
2630,10
2631,1
2632,1
2633,0
2634,1
2635,5
2636,0
2637,0
2638,2
2639,17
2640,13
2641,18
2642,8
2643,0
2644,13
2645,10
2646,13
2647,8
2648,13
2649,0
2650,5
2651,19
2652,9
2653,13
2654,19
2655,9
2656,18
2657,13
2658,9
2659,13
2660,13
2661,0
2662,12
2663,1
2664,0
2665,0
2666,1
2667,19
2668,9
2669,12
2670,2
2671,10
2672,15
2673,12
2674,0
2675,8
2676,8
2677,2
2678,1
2679,19
2680,11
2681,10
2682,12
2683,10
2684,10
2685,17
2686,13
2687,10
2688,5
2689,12
2690,1
2691,13
2692,2
2693,1
2694,10
2695,0
2696,1
2697,19
2698,17
2699,5
2700,10
2701,0
2702,1
2703,1
2704,13
2705,13
2706,1
2707,19
2708,8
2709,1
2710,12
2711,13
2712,9
2713,12
2714,17
2715,19
2716,11
2717,10
2718,12
2719,13
2720,12
2721,13
2722,1
2723,13
2724,1
2725,1
2726,1
2727,1
2728,10
2729,13
2730,0
2731,10
2732,1
2733,0
2734,13
2735,12
2736,1
2737,5
2738,6
2739,1
2740,10
2741,9
2742,10
2743,2
2744,19
2745,11
2746,18
2747,2
2748,1
2749,1
2750,13
2751,13
2752,13
2753,9
2754,5
2755,13
2756,10
2757,1
2758,19
2759,10
2760,9
2761,8
2762,12
2763,13
2764,10
2765,9
2766,13
2767,8
2768,1
2769,13
2770,2
2771,1
2772,9
2773,19
2774,12
2775,8
2776,1
2777,2
2778,2
2779,10
2780,12
2781,1
2782,9
2783,0
2784,1
2785,13
2786,2
2787,2
2788,9
2789,10
2790,1
2791,10
2792,8
2793,0
2794,9
2795,6
2796,19
2797,13
2798,17
2799,13
2800,0
2801,19
2802,6
2803,2
2804,10
2805,10
2806,1
2807,2
2808,0
2809,10
2810,10
2811,1
2812,12
2813,17
2814,18
2815,12
2816,11
2817,19
2818,13
2819,0
2820,5
2821,1
2822,12
2823,6
2824,9
2825,8
2826,9
2827,1
2828,10
2829,2
2830,1
2831,1
2832,17
2833,10
2834,1
2835,17
2836,12
2837,1
2838,19
2839,17
2840,1
2841,12
2842,9
2843,13
2844,12
2845,9
2846,11
2847,9
2848,2
2849,18
2850,17
2851,2
2852,0
2853,13
2854,2
2855,2
2856,1
2857,0
2858,17
2859,17
2860,3
2861,11
2862,9
2863,6
2864,10
2865,1
2866,12
2867,13
2868,1
2869,9
2870,10
2871,1
2872,17
2873,12
2874,0
2875,12
2876,0
2877,13
2878,1
2879,2
2880,8
2881,13
2882,19
2883,5
2884,9
2885,0
2886,13
2887,18
2888,12
2889,10
2890,13
2891,17
2892,12
2893,1
2894,17
2895,1
2896,18
2897,10
2898,13
2899,1
2900,1
2901,8
2902,10
2903,14
2904,10
2905,13
2906,0
2907,2
2908,0
2909,10
2910,9
2911,8
2912,13
2913,13
2914,1
2915,12
2916,13
2917,1
2918,13
2919,13
2920,9
2921,13
2922,1
2923,10
2924,17
2925,9
2926,2
2927,2
2928,0
2929,8
2930,11
2931,12
2932,18
2933,11
2934,0
2935,13
2936,12
2937,1
2938,10
2939,9
2940,13
2941,12
2942,9
2943,10
2944,8
2945,8
2946,17
2947,2
2948,2
2949,17
2950,9
2951,0
2952,1
2953,13
2954,9
2955,1
2956,10
2957,10
2958,12
2959,0
2960,0
2961,1
2962,0
2963,10
2964,12
2965,11
2966,12
2967,17
2968,0
2969,1
2970,0
2971,2
2972,17
2973,1
2974,17
2975,13
2976,0
2977,12
2978,19
2979,12
2980,2
2981,11
2982,10
2983,19
2984,17
2985,1
2986,12
2987,13
2988,8
2989,1
2990,13
2991,17
2992,13
2993,12
2994,1
2995,1
2996,1
2997,1
